基于拉压试验机的一种剪切试件设计及优化
 多通道舵机控制系统上位机设计
基于CAN总线的飞机电气附件静态测试系统设计与开发
基于逆合成孔径雷达的微/小型无人机监测技术研究
多传感器信息融合技术在机器人擂台中的定位设计
嵌入式系统便携式数字示波器的设计与实现
B737-700飞机控制显示组件实验测试系统
发动机叶片焊接修复柔性散热装置研究
智能物流机器人
基于Arduino单片机的校园巡逻多功能机器人
视听融合的智能盲人导引机器人的设计及制作
基于声信号的地面目标定位系统设计
基于公众参与的共享单车优化布局与效用提升机制研究
外卖智能配送安全头盔的设计
领航科创电子科技有限公司
“飞凡创翼”3D打印技术服务公司的建立与运营
活塞发动机降噪减阻惯性涡轮式排气管
三栖四旋翼的设计与制作
自助驿站系统（SPHS）的开发
多地形侦查机器人
机电传动综合实验台的设计与研制
泡沫铝填充薄壁管复合结构的可控制备和吸能特性研究
机械式棒材蠕变引伸计的研制
轻羽化无人机控制系统开发
温度对铝合金应力腐蚀过程中裂纹萌生与扩展过程的研究
增韧改性碳纤维环氧树脂复合材料性能研究
大学生上网行为与成绩关联性研究
基于网络用户行为的网络优化研究
基于AD的多校区高效可重构统一身份认证架构研究
