的,9008
—,2495
与,2072
及,1280
对,981
中,870
以,802
“,781
”,769
和,710
-,680
下,629
在,561
、,501
/,253
 ,245
新,174
+,174
（,171
多,168
）,165
可,138
《,134
》,134
型,133
式,132
大,127
自,123
：,109
烯,87
非,86
高,82
物,81
，,80
上,78
微,76
类,75
性,73
法,73
化,70
水,68
),66
碳,64
从,62
(,61
超,59
膜,58
云,57
小,57
双,54
后,52
光,49
四,48
2,46
车,46
酶,44
1,42
全,40
抗,40
机,38
器,37
β,37
再,35
内,34
―,34
点,33
C,33
电,33
热,31
其,30
臂,30
等,28
体,27
菌,27
年,27
号,27
人,27
氮,26
炭,25
地,25
A,25
铁,25
手,24
.,24
3,24
去,24
间,24
区,24
带,24
村,23
低,23
酸,22
反,22
？,22
无,22
之,22
侧,22
所,21
三,21
α,20
霾,20
苷,20
氧,20
肽,20
磁,20
硫,20
看,20
谱,20
B,20
?,19
雾,19
5,19
防,19
金,19
二,18
网,18
磷,18
S,18
铜,18
源,18
－,18
@,18
气,17
T,17
并,17
4,17
含,17
你,17
锂,17
级,16
脑,16
·,16
铝,16
家,16
仪,16
硒,16
度,16
单,15
时,15
:,15
半,15
共,15
制,15
我,15
素,15
土,15
线,14
剂,14
6,14
到,13
备,13
外,13
氟,13
骨,13
镍,13
古,13
P,13
环,13
N,12
银,12
钴,12
率,12
端,12
仿,12
向,12
聚,12
过,12
老,12
生,12
吧,12
茶,12
盐,12
酮,12
锰,12
鱼,11
D,11
梁,11
道,11
派,11
船,11
亚,11
啉,11
学,11
营,11
油,11
U,11
群,11
板,11
锌,11
力,11
硅,11
镉,11
面,10
有,10
片,10
跨,10
清,10
比,10
&,10
好,10
乡,10
炔,10
酯,10
药,10
长,10
场,9
近,9
前,9
者,9
样,9
e,9
H,9
皂,9
草,9
硼,9
液,9
钯,9
柱,9
致,9
铋,9
给,9
感,9
砷,9
I,8
X,8
来,8
分,8
核,8
图,8
行,8
变,8
轻,8
拍,8
铂,8
卟,8
促,8
会,8
子,8
_,8
乳,8
肝,8
钛,8
段,8
各,8
语,8
个,8
~,8
太,8
声,8
[,8
],8
红,8
碱,8
钢,8
铬,8
翼,8
汞,8
通,8
他,8
煤,8
解,7
或,7
强,7
n,7
钨,7
期,7
Ⅱ,7
阶,7
箱,7
华,7
是,7
原,7
位,7
灯,7
窗,7
组,7
耐,7
风,7
E,7
叶,7
γ,7
观,7
岁,7
说,7
＋,7
美,7
轴,7
山,7
六,7
载,7
晶,7
轮,7
嗜,7
结,7
牛,7
猪,7
胺,7
吗,7
流,7
帮,7
波,6
氨,6
令,6
让,6
难,6
被,6
约,6
税,6
灰,6
藻,6
重,6
链,6
盒,6
鸡,6
降,6
史,6
由,6
科,6
女,6
包,6
病,6
白,6
课,6
农,6
桩,6
快,6
Z,6
–,6
成,6
蓝,6
粒,6
肾,6
料,6
掺,6
铈,6
＂,6
活,5
囊,5
泡,5
G,5
',5
域,5
西,5
房,5
假,5
V,5
伪,5
花,5
论,5
g,5
信,5
零,5
架,5
动,5
除,5
废,5
库,5
柜,5
购,5
纳,5
免,5
7,5
钙,5
团,5
店,5
街,5
癌,5
状,5
贴,5
属,5
弱,5
书,5
卡,5
铅,5
舞,5
沙,5
加,5
胍,5
脱,5
米,5
肺,5
艇,5
飞,5
铌,5
石,5
球,5
苯,5
烃,5
晚,5
渣,5
冷,5
镁,5
正,5
钒,5
都,5
淘,5
镜,4
宽,4
助,4
钌,4
干,4
O,4
酱,4
室,4
县,4
慢,4
当,4
河,4
值,4
件,4
知,4
床,4
态,4
权,4
Y,4
集,4
某,4
杂,4
醚,4
键,4
爱,4
表,4
钾,4
毒,4
代,4
园,4
市,4
酒,4
北,4
元,4
瘤,4
经,4
未,4
了,4
英,4
达,4
城,4
汇,4
门,4
准,4
肌,4
负,4
锁,4
川,4
腔,4
贷,4
镇,4
视,4
K,4
层,4
优,4
管,4
套,4
路,4
芯,4
孔,4
软,4
术,4
圈,4
转,4
胶,4
短,4
铺,4
产,4
c,4
受,4
心,4
南,4
早,4
;,4
总,4
谁,4
x,4
桥,4
渗,4
离,3
羊,3
血,3
州,3
医,3
荒,3
师,3
走,3
赴,3
混,3
啦,3
次,3
将,3
‘,3
两,3
盘,3
粉,3
众,3
拉,3
发,3
十,3
脾,3
节,3
噁,3
虾,3
筹,3
糖,3
方,3
饮,3
钠,3
深,3
穿,3
空,3
班,3
靠,3
话,3
吃,3
客,3
Ｐ,3
乐,3
见,3
洗,3
队,3
胃,3
